01-17 00:30:02.102: W/System.err(1143): Fri Jan 17 00:30:02 EST 2014 WARNING Logging.setupLogger: Unable to attach FileHandler to logger!
01-17 00:30:02.102: W/System.err(1143): java.io.FileNotFoundException: /log/gns.xml.0.lck: open failed: ENOENT (No such file or directory)
01-17 00:30:02.112: W/System.err(1143): 	at libcore.io.IoBridge.open(IoBridge.java:409)
01-17 00:30:02.112: W/System.err(1143): 	at java.io.FileOutputStream.<init>(FileOutputStream.java:88)
01-17 00:30:02.122: W/System.err(1143): 	at java.io.FileOutputStream.<init>(FileOutputStream.java:128)
01-17 00:30:02.122: W/System.err(1143): 	at java.io.FileOutputStream.<init>(FileOutputStream.java:117)
01-17 00:30:02.122: W/System.err(1143): 	at java.util.logging.FileHandler.initOutputFiles(FileHandler.java:189)
01-17 00:30:02.132: W/System.err(1143): 	at java.util.logging.FileHandler.init(FileHandler.java:159)
01-17 00:30:02.142: W/System.err(1143): 	at java.util.logging.FileHandler.<init>(FileHandler.java:446)
01-17 00:30:02.142: W/System.err(1143): 	at edu.umass.cs.gns.client.util.Logging.setupLogger(Logging.java:76)
01-17 00:30:02.142: W/System.err(1143): 	at edu.umass.cs.gns.client.GNSClient.getLogger(GNSClient.java:32)
01-17 00:30:02.152: W/System.err(1143): 	at edu.umass.cs.gns.client.DesktopGnsClient.sendGetCommand(DesktopGnsClient.java:72)
01-17 00:30:02.152: W/System.err(1143): 	at edu.umass.cs.gns.client.AbstractGnsClient.lookupGuid(AbstractGnsClient.java:241)
01-17 00:30:02.152: W/System.err(1143): 	at com.example.walkerapp.ResultActivity.onCreate(ResultActivity.java:35)
